album_id,title,release_year
ab1c2d3e-1234-5678-9000-000000000001,Abbey Road,1969
ab1c2d3e-1234-5678-9000-000000000002,1989,2014
ab1c2d3e-1234-5678-9000-000000000003,Random Access Memories,2013
ab1c2d3e-1234-5678-9000-000000000004,Kind of Blue,1959
ab1c2d3e-1234-5678-9000-000000000005,OK Computer,1997
ab1c2d3e-1234-5678-9000-000000000006,When We All Fall Asleep,2019
ab1c2d3e-1234-5678-9000-000000000007,To Pimp a Butterfly,2015
ab1c2d3e-1234-5678-9000-000000000008,AM,2013
ab1c2d3e-1234-5678-9000-000000000009,Born to Die,2012
ab1c2d3e-1234-5678-9000-000000000010,The Dark Side of the Moon,1973

